tool,problemsize,time
lean-egg,5,0.6606982149969554
lean-simp,5,ERR
coq-congruence,5,0.1380389749974711
coq-autorewrite,5,0.13357244001235813
lean-egg,10,0.6879128000000492
coq-congruence,10,0.15781702799722552
coq-autorewrite,10,0.1523789030034095
lean-egg,15,0.7254004330025055
coq-congruence,15,0.20015423800214194
coq-autorewrite,15,0.17083301801176276
lean-egg,20,0.7826493350003147
coq-congruence,20,0.24500175699358806
coq-autorewrite,20,0.1834884290001355
lean-egg,25,0.8936237009911565
coq-congruence,25,0.3193078729964327
coq-autorewrite,25,0.20789327699458227
lean-egg,30,1.018859075004002
coq-congruence,30,0.42048308900848497
coq-autorewrite,30,0.219417489002808
lean-egg,35,1.1596640799980378
coq-congruence,35,0.5375996119983029
coq-autorewrite,35,0.23936865699943155
lean-egg,40,1.4069674749916885
coq-congruence,40,0.5958961940050358
coq-autorewrite,40,0.25959992299613077
lean-egg,45,1.6323640089976834
coq-congruence,45,0.7280822729953798
coq-autorewrite,45,0.2800746849970892
lean-egg,50,1.9807322129927343
coq-congruence,50,0.8811358700040728
coq-autorewrite,50,0.29869292200601194
lean-egg,55,2.4428646360029234
coq-congruence,55,1.0551086659979774
coq-autorewrite,55,0.31531613699917216
lean-egg,60,2.7387422080064425
coq-congruence,60,1.3082496489951154
coq-autorewrite,60,0.3317360520013608
lean-egg,65,3.2482307570026023
coq-congruence,65,1.4862908390059602
coq-autorewrite,65,0.35668117299792357
lean-egg,70,3.7227900279976893
coq-congruence,70,1.7701356339966878
coq-autorewrite,70,0.3594784000015352
lean-egg,75,4.368286693003029
coq-congruence,75,2.05526858799567
coq-autorewrite,75,0.38890774999163114
lean-egg,80,5.0438713030016515
coq-congruence,80,2.441220107997651
coq-autorewrite,80,0.4239808889979031
lean-egg,85,5.869772862002719
coq-congruence,85,2.8764944540016586
coq-autorewrite,85,0.439586207998218
lean-egg,90,6.782504778995644
coq-congruence,90,3.318135624998831
coq-autorewrite,90,0.45236927500809543
lean-egg,95,7.787842264006031
coq-congruence,95,3.7748769850004464
coq-autorewrite,95,0.4696371640020516
lean-egg,100,8.958623686005012
coq-congruence,100,4.390673834001063
coq-autorewrite,100,0.5007975759945111
lean-egg,105,10.11039578000782
coq-congruence,105,4.961962051005685
coq-autorewrite,105,0.515772451995872
lean-egg,110,11.236139283006196
coq-congruence,110,5.559308344003512
coq-autorewrite,110,0.5042435770010343
lean-egg,115,13.263184415991418
coq-congruence,115,6.5071321970026474
coq-autorewrite,115,0.5486899120005546
lean-egg,120,14.302797203010414
coq-congruence,120,7.29515570399235
coq-autorewrite,120,0.5436183249985334
